Nachname,URI
Schärenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schaerenberger
Spindelhorn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spindelhorn
Messikommer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Messikommer
Düring,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Duering
Wolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wolf
Fries,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fries
Götz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Goetz
Wägeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Waegeli
Waser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Waser
Mülli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muelli
Bernhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bernhard
Trachsler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Trachsler
Benker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Benker
Briner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Briner
Bratch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bratch
Rühlin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ruehlin
Windler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Windler
Rottmund,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rottmund
Wiser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wiser
