Nachname,URI
Känner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kaenner
Mettler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mettler
Reuter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reuter
Läpert,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Laepert
Fehrn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fehrn
Brennwald,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Brennwald
Muggli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muggli
Erzenholz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Erzenholz
Halter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Halter
Burgmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Burgmann
Eckmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eckmann
Gunter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gunter
Gretler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gretler
Billwiller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Billwiller
Gsindler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gsindler
Güttli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Guettli
Hülistein,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huelistein
Wünsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wuensch
Schulz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schulz
Roppel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Roppel
Rutsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rutsch
Wildemer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wildemer
Solenter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Solenter
Richenhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Richenhard
Schwester,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schwester
Rigeau,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rigeau
Eugster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eugster
Diggelmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Diggelmann
Rickenschweiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rickenschweiler
Schlichter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schlichter
